Z,N,BE_exp,BE_misr,BE_pymisr,misr_residuals,pymisr_residuals
14,11,187.0025,188.52139079142074,188.258845449555,1.5188907914207448,1.256345449554999
14,16,255.619647,253.63610917137362,248.22868991624816,-1.9835378286263676,-7.390957083751829
14,17,262.20703960000003,262.5974919486086,257.1810210153847,0.39045234860856226,-5.026018584615315
14,14,236.53684600000005,232.12999999999997,227.53540907279077,-4.406846000000087,-9.001436927209284
14,15,245.0104469,243.52484943390917,238.3718984964379,-1.4855974660908373,-6.638548403562112
14,18,271.407008,270.52403797569826,265.2966177503114,-0.8829700243017555,-6.110390249688635
14,19,275.91498,277.5154997423874,272.63660898458863,1.6005197423874051,-3.2783710154113805
14,23,294.261,297.7228484927897,295.27318810487117,3.46184849278967,1.012188104871143
14,23,294.261,297.7228484927897,295.27318810487117,3.46184849278967,1.012188104871143
14,23,294.261,297.7228484927897,295.27318810487117,3.46184849278967,1.012188104871143
14,24,299.934,301.1561593149385,299.4704220872298,1.2221593149384944,-0.4635779127702335
14,24,299.934,301.1561593149385,299.4704220872298,1.2221593149384944,-0.4635779127702335
14,22,292.05,293.69890479511844,290.5310020790292,1.6489047951184261,-1.5189979209708326
14,22,292.05,293.69890479511844,290.5310020790292,1.6489047951184261,-1.5189979209708326
14,28,311.22,309.86958151193113,311.4629424700955,-1.3504184880688967,0.24294247009549963
14,28,311.22,309.86958151193113,311.4629424700955,-1.3504184880688967,0.24294247009549963
14,28,311.22,309.86958151193113,311.4629424700955,-1.3504184880688967,0.24294247009549963
14,28,311.22,309.86958151193113,311.4629424700955,-1.3504184880688967,0.24294247009549963
14,26,306.24,306.4371818493951,306.3660901790647,0.197181849395065,0.126090179064704
14,26,306.24,306.4371818493951,306.3660901790647,0.197181849395065,0.126090179064704
14,26,306.24,306.4371818493951,306.3660901790647,0.197181849395065,0.126090179064704
14,26,306.24,306.4371818493951,306.3660901790647,0.197181849395065,0.126090179064704
14,20,283.463644,283.65896430237456,279.25631065987704,0.19532030237456866,-4.207333340122943
15,25,319.256,321.89935927840344,320.4967171071842,2.643359278403466,1.2407171071842527
15,25,319.256,321.89935927840344,320.4967171071842,2.643359278403466,1.2407171071842527
15,25,319.256,321.89935927840344,320.4967171071842,2.643359278403466,1.2407171071842527
15,23,309.5974,313.41529853964073,310.8828659673608,3.817898539640737,1.2854659673607784
15,23,309.5974,313.41529853964073,310.8828659673608,3.817898539640737,1.2854659673607784
15,28,330.283,330.6864986125674,331.21153322759477,0.4034986125673754,0.9285332275947553
15,28,330.283,330.6864986125674,331.21153322759477,0.4034986125673754,0.9285332275947553
15,28,330.283,330.6864986125674,331.21153322759477,0.4034986125673754,0.9285332275947553
15,28,330.283,330.6864986125674,331.21153322759477,0.4034986125673754,0.9285332275947553
15,26,324.187,325.3134228347814,324.5322373569079,1.1264228347814083,0.34523735690788726
15,26,324.187,325.3134228347814,324.5322373569079,1.1264228347814083,0.34523735690788726
15,26,324.187,325.3134228347814,324.5322373569079,1.1264228347814083,0.34523735690788726
15,21,299.0844,302.40201165977487,298.97851494996246,3.3176116597748546,-0.105885050037557
15,21,299.0844,302.40201165977487,298.97851494996246,3.3176116597748546,-0.105885050037557
15,20,295.61875,295.8049322925981,292.0676742532513,0.1861822925981187,-3.5510757467486656
15,14,239.285873,235.91094317358514,233.92232172881444,-3.3749298264148706,-5.363551271185571
15,13,221.40944,221.49504392747195,220.8346874766922,0.08560392747196488,-0.5747525233077795
15,13,221.40944,221.49504392747195,220.8346874766922,0.08560392747196488,-0.5747525233077795
15,13,221.40944,221.49504392747195,220.8346874766922,0.08560392747196488,-0.5747525233077795
15,12,206.8497,205.39443333333332,206.55513306008325,-1.455266666666688,-0.29456693991676275
15,12,206.8497,205.39443333333332,206.55513306008325,-1.455266666666688,-0.29456693991676275
15,11,187.148,187.38369309948365,190.97868702177672,0.23569309948365458,3.8306870217767255
15,11,187.148,187.38369309948365,190.97868702177672,0.23569309948365458,3.8306870217767255
15,11,187.148,187.38369309948365,190.97868702177672,0.23569309948365458,3.8306870217767255
15,18,280.95573,280.0822104947387,276.09520681780697,-0.8735195052612994,-4.860523182193049
15,17,270.85184960000004,270.78936769859934,266.9262128911378,-0.062481901400701645,-3.925636708862214
15,16,262.9161987,260.41094031129984,256.88797241352574,-2.505258388700156,-6.028226286474251
15,15,250.605192,248.82999999999996,245.91197626046298,-1.7751920000000325,-4.69321573953701
15,19,287.238324,288.39109096856504,284.456948585605,1.1527669685650608,-2.7813754143949723
16,32,362.496,358.74656736333384,360.9355860841096,-3.7494326366661426,-1.560413915890365
16,32,362.496,358.74656736333384,360.9355860841096,-3.7494326366661426,-1.560413915890365
16,32,362.496,358.74656736333384,360.9355860841096,-3.7494326366661426,-1.560413915890365
16,32,362.496,358.74656736333384,360.9355860841096,-3.7494326366661426,-1.560413915890365
16,30,358.11,354.90190416929283,356.0237519880734,-3.2080958307071796,-2.086248011926614
16,30,358.11,354.90190416929283,356.0237519880734,-3.2080958307071796,-2.086248011926614
16,30,358.11,354.90190416929283,356.0237519880734,-3.2080958307071796,-2.086248011926614
16,30,358.11,354.90190416929283,356.0237519880734,-3.2080958307071796,-2.086248011926614
16,15,256.735831,252.5397309443122,252.17720762872727,-4.196100055687822,-4.558623371272745
16,14,243.68124,238.1628064904038,239.0614865736282,-5.518433509596207,-4.619753426371801
16,13,224.6456,222.23910444721028,224.81664643002273,-2.406495552789721,0.17104643002272724
16,13,224.6456,222.23910444721028,224.81664643002273,-2.406495552789721,0.17104643002272724
16,12,209.412,204.5793834106717,209.34876123754213,-4.832616589328296,-0.06323876245787119
16,12,209.412,204.5793834106717,209.34876123754213,-4.832616589328296,-0.06323876245787119
16,19,298.82478849999995,297.46139255548513,294.9220700578654,-1.3633959445148207,-3.9027184421345282
16,18,291.83895240000004,287.88008059132596,285.5549404644904,-3.9588718086740755,-6.284011935509625
16,17,280.4218032,277.2706517136325,275.3512503174106,-3.151151486367496,-5.070552882589425
16,16,271.7801632,265.53,264.2483579922841,-6.250163200000031,-7.531805207715877
16,26,344.11566,342.17623255550825,341.27914674194193,-1.9394274444917414,-2.836513258058062
16,26,344.11566,342.17623255550825,341.27914674194193,-1.9394274444917414,-2.836513258058062
16,25,337.41524,337.75866876972,336.42153515421967,0.34342876971999203,-0.9937048457803144
16,25,337.41524,337.75866876972,336.42153515421967,0.34342876971999203,-0.9937048457803144
16,24,333.1732,332.7695500537763,331.03684458368446,-0.40364994622370887,-2.1363554163155527
16,23,325.4277,327.1632238193394,325.0914775277943,1.7355238193393916,-0.3362224722056908
16,28,351.82488,349.45802199783964,349.53461677751244,-2.3668580021603702,-2.2902632224875674
